variable	inflator	h
Other_foreign_inc_amt	0.98	12
Other_inc_amt	0.99	12
Other_rent_ded_amt	1.49	12
PP_loss_claimed	1.06	12
Rent_cap_wks_amt	1.61	12
Rent_int_ded_amt	1	12
Rep_frng_ben_amt	1.42	12
Spouse_adjusted_taxable_inc	1	12
TFN_amts_wheld_divs_amt	0.89	12
TFN_amts_wheld_gr_intst_amt	1.21	12
Taxed_othr_pnsn_amt	1.04	12
Tot_CY_CG_amt	1	12
Total_NPP_BE_amt	0.75	12
Total_NPP_BI_amt	0.75	12
Total_PP_BE_amt	0.99	12
Total_PP_BI_amt	0.99	12
Unfranked_Div_amt	1.09	12
Untaxed_othr_pnsn_amt	1.36	12
Asbl_forgn_source_incm_amt	0.88	13
Aust_govt_pnsn_allw_amt	1	13
Cr_PAYG_ITI_amt	0.98	13
Div_Ded_amt	-0.41	13
Dividends_franking_cr_amt	1.05	13
Frk_Div_amt	1	13
Gift_amt	1.09	13
Gross_rent_amt	1.5	13
Grs_int_amt	1	13
Help_debt	2.25	13
Hrs_to_prepare_BPI_cnt	1	13
Intrst_Ded_amt	1	13
Med_Exp_TO_amt	0.6	13
NPP_loss_claimed	1	13
Net_CG_amt	1	13
Net_PT_NPP_dsn	0.9	13
Net_PT_PP_dsn	0.97	13
Net_farm_management_amt	1	13
Net_fincl_invstmt_lss_amt	1	13
Other_foreign_inc_amt	0.98	13
Other_inc_amt	0.99	13
Other_rent_ded_amt	1.53	13
PP_loss_claimed	1.06	13
Rent_cap_wks_amt	1.66	13
Rent_int_ded_amt	1	13
Rep_frng_ben_amt	1.46	13
Spouse_adjusted_taxable_inc	1	13
TFN_amts_wheld_divs_amt	0.89	13
TFN_amts_wheld_gr_intst_amt	1.21	13
Taxed_othr_pnsn_amt	1.04	13
Tot_CY_CG_amt	1	13
Total_NPP_BE_amt	0.75	13
Total_NPP_BI_amt	0.75	13
Total_PP_BE_amt	0.99	13
Total_PP_BI_amt	0.99	13
Unfranked_Div_amt	1.09	13
Untaxed_othr_pnsn_amt	1.39	13
Asbl_forgn_source_incm_amt	0.88	14
Aust_govt_pnsn_allw_amt	1	14
Cr_PAYG_ITI_amt	0.98	14
Div_Ded_amt	-0.52	14
Dividends_franking_cr_amt	1.05	14
Frk_Div_amt	1	14
Gift_amt	1.09	14
Gross_rent_amt	1.53	14
Grs_int_amt	1	14
Help_debt	2.35	14
Hrs_to_prepare_BPI_cnt	1	14
Intrst_Ded_amt	1	14
Med_Exp_TO_amt	0.58	14
NPP_loss_claimed	1	14
Net_CG_amt	1	14
Net_PT_NPP_dsn	0.89	14
Net_PT_PP_dsn	0.97	14
Net_farm_management_amt	1	14
Net_fincl_invstmt_lss_amt	1	14
Other_foreign_inc_amt	0.98	14
Other_inc_amt	0.99	14
Other_rent_ded_amt	1.57	14
PP_loss_claimed	1.06	14
Rent_cap_wks_amt	1.71	14
Rent_int_ded_amt	1	14
Rep_frng_ben_amt	1.49	14
Spouse_adjusted_taxable_inc	1	14
TFN_amts_wheld_divs_amt	0.89	14
TFN_amts_wheld_gr_intst_amt	1.21	14
Taxed_othr_pnsn_amt	1.04	14
Tot_CY_CG_amt	1	14
Total_NPP_BE_amt	0.75	14
Total_NPP_BI_amt	0.75	14
Total_PP_BE_amt	0.99	14
Total_PP_BI_amt	0.99	14
Unfranked_Div_amt	1.09	14
Untaxed_othr_pnsn_amt	1.42	14
Asbl_forgn_source_incm_amt	0.88	15
Aust_govt_pnsn_allw_amt	1	15
Cr_PAYG_ITI_amt	0.98	15
Div_Ded_amt	-0.63	15
Dividends_franking_cr_amt	1.05	15
Frk_Div_amt	1	15
Gift_amt	1.09	15
Gross_rent_amt	1.57	15
Grs_int_amt	1	15
Help_debt	2.45	15
Hrs_to_prepare_BPI_cnt	1	15
Intrst_Ded_amt	1	15
Med_Exp_TO_amt	0.55	15
NPP_loss_claimed	1	15
Net_CG_amt	1	15
Net_PT_NPP_dsn	0.88	15
Net_PT_PP_dsn	0.97	15
Net_farm_management_amt	1	15
Net_fincl_invstmt_lss_amt	1	15
Other_foreign_inc_amt	0.98	15
Other_inc_amt	0.99	15
Other_rent_ded_amt	1.61	15
PP_loss_claimed	1.06	15
Rent_cap_wks_amt	1.76	15
Rent_int_ded_amt	1	15
Rep_frng_ben_amt	1.53	15
Spouse_adjusted_taxable_inc	1	15
TFN_amts_wheld_divs_amt	0.89	15
TFN_amts_wheld_gr_intst_amt	1.21	15
Taxed_othr_pnsn_amt	1.04	15
Tot_CY_CG_amt	1	15
Total_NPP_BE_amt	0.75	15
Total_NPP_BI_amt	0.75	15
Total_PP_BE_amt	0.99	15
Total_PP_BI_amt	0.99	15
Unfranked_Div_amt	1.09	15
Untaxed_othr_pnsn_amt	1.45	15
