Series_ID	Date	value
A2304308C	1984-12-01	0.006
A2304308C	1985-03-01	0.012
A2304308C	1985-06-01	0.013
A2304308C	1985-09-01	0.009
A2304308C	1985-12-01	0.001
A2304308C	1986-03-01	-0.003
A2304308C	1986-06-01	-0.002
A2304308C	1986-09-01	0.002
A2304308C	1986-12-01	0.006
A2304308C	1987-03-01	0.01
A2304308C	1987-06-01	0.012
A2304308C	1987-09-01	0.014
A2304308C	1987-12-01	0.011
A2304308C	1988-03-01	0.004
A2304308C	1988-06-01	0
A2304308C	1988-09-01	0.002
A2304308C	1988-12-01	0.008
A2304308C	1989-03-01	0.012
A2304308C	1989-06-01	0.01
A2304308C	1989-09-01	0.005
A2304308C	1989-12-01	0.001
A2304308C	1990-03-01	-0.002
A2304308C	1990-06-01	-0.002
A2304308C	1990-09-01	-0.004
A2304308C	1990-12-01	-0.007
A2304308C	1991-03-01	-0.007
A2304308C	1991-06-01	-0.006
A2304308C	1991-09-01	-0.003
A2304308C	1991-12-01	0.001
A2304308C	1992-03-01	0.002
A2304308C	1992-06-01	0.006
A2304308C	1992-09-01	0.01
A2304308C	1992-12-01	0.011
A2304308C	1993-03-01	0.007
A2304308C	1993-06-01	0.003
A2304308C	1993-09-01	0.005
A2304308C	1993-12-01	0.011
A2304308C	1994-03-01	0.013
A2304308C	1994-06-01	0.011
A2304308C	1994-09-01	0.007
A2304308C	1994-12-01	0.002
A2304308C	1995-03-01	0.002
A2304308C	1995-06-01	0.004
A2304308C	1995-09-01	0.007
A2304308C	1995-12-01	0.009
A2304308C	1996-03-01	0.007
A2304308C	1996-06-01	0.006
A2304308C	1996-09-01	0.005
A2304308C	1996-12-01	0.006
A2304308C	1997-03-01	0.01
A2304308C	1997-06-01	0.012
A2304308C	1997-09-01	0.01
A2304308C	1997-12-01	0.007
A2304308C	1998-03-01	0.006
A2304308C	1998-06-01	0.01
A2304308C	1998-09-01	0.012
A2304308C	1998-12-01	0.011
A2304308C	1999-03-01	0.006
A2304308C	1999-06-01	0.005
A2304308C	1999-09-01	0.007
A2304308C	1999-12-01	0.009
A2304308C	2000-03-01	0.007
A2304308C	2000-06-01	0.002
A2304308C	2000-09-01	-0.001
A2304308C	2000-12-01	-0.001
A2304308C	2001-03-01	0.002
A2304308C	2001-06-01	0.007
A2304308C	2001-09-01	0.008
A2304308C	2001-12-01	0.008
A2304308C	2002-03-01	0.009
A2304308C	2002-06-01	0.008
A2304308C	2002-09-01	0.005
A2304308C	2002-12-01	0.001
A2304308C	2003-03-01	-0.001
A2304308C	2003-06-01	0.004
A2304308C	2003-09-01	0.01
A2304308C	2003-12-01	0.012
A2304308C	2004-03-01	0.009
A2304308C	2004-06-01	0.005
A2304308C	2004-09-01	0.004
A2304308C	2004-12-01	0.004
A2304308C	2005-03-01	0.003
A2304308C	2005-06-01	0.004
A2304308C	2005-09-01	0.005
A2304308C	2005-12-01	0.003
A2304308C	2006-03-01	0.002
A2304308C	2006-06-01	0.002
A2304308C	2006-09-01	0.006
A2304308C	2006-12-01	0.009
A2304308C	2007-03-01	0.008
A2304308C	2007-06-01	0.005
A2304308C	2007-09-01	0.004
A2304308C	2007-12-01	0.003
A2304308C	2008-03-01	0.003
A2304308C	2008-06-01	0
A2304308C	2008-09-01	-0.003
A2304308C	2008-12-01	-0.002
A2304308C	2009-03-01	0
A2304308C	2009-06-01	0.001
A2304308C	2009-09-01	0.001
A2304308C	2009-12-01	0.001
A2304308C	2010-03-01	0.002
A2304308C	2010-06-01	0.004
A2304308C	2010-09-01	0.003
A2304308C	2010-12-01	0.002
A2304308C	2011-03-01	0.002
A2304308C	2011-06-01	0.004
A2304308C	2011-09-01	0.007
A2304308C	2011-12-01	0.008
A2304308C	2012-03-01	0.006
A2304308C	2012-06-01	0.003
A2304308C	2012-09-01	0.001
A2304308C	2012-12-01	0
A2304308C	2013-03-01	0
A2304308C	2013-06-01	0.001
A2304308C	2013-09-01	0.003
A2304308C	2013-12-01	0.004
A2304308C	2014-03-01	0.004
A2304308C	2014-06-01	0.002
A2304308C	2014-09-01	0.002
A2304308C	2014-12-01	0.002
A2304308C	2015-03-01	0.002
A2304308C	2015-06-01	0.003
A2304308C	2015-09-01	0.003
A2304308C	2015-12-01	0.004
A2304308C	2016-03-01	0.004
A2304308C	2016-06-01	0.002
A2304308C	2016-09-01	0.001
A2304308C	2016-12-01	0.001
A2304308C	2017-03-01	0.002
A2304308C	2017-06-01	0.003
A2304308C	2017-09-01	0.003
A2304308C	2017-12-01	0.004
A2304308C	2018-03-01	0.004
A2304308C	2018-06-01	0.002
A2304308C	2018-09-01	0
A2304308C	2018-12-01	-0.001
A2304308C	2019-03-01	0
A2304308C	2019-06-01	0
A3606044K	1959-09-01	
A3606044K	1959-12-01	
A3606044K	1960-03-01	
A3606044K	1960-06-01	
A3606044K	1960-09-01	
A3606044K	1960-12-01	
A3606044K	1961-03-01	
