variable	inflator	h	fy_year
Rent_cap_wks_amt	1.79	8	2021-22
Net_farm_management_amt	0.96	8	2021-22
Total_PP_BI_amt	1.1	8	2021-22
Total_NPP_BI_amt	1.03	8	2021-22
Total_PP_BE_amt	1.19	8	2021-22
Total_NPP_BE_amt	1.16	8	2021-22
Net_CG_amt	1.3	8	2021-22
Tot_CY_CG_amt	1.21	8	2021-22
Net_PT_PP_dsn	1.27	8	2021-22
Net_PT_NPP_dsn	1.36	8	2021-22
Taxed_othr_pnsn_amt	0.95	8	2021-22
Untaxed_othr_pnsn_amt	1.32	8	2021-22
Other_foreign_inc_amt	1.87	8	2021-22
Other_inc_amt	1	8	2021-22
Div_Ded_amt	0.28	8	2021-22
Intrst_Ded_amt	1.1	8	2021-22
Gift_amt	0.98	8	2021-22
PP_loss_claimed	1	8	2021-22
NPP_loss_claimed	0.9	8	2021-22
Rep_frng_ben_amt	1.32	8	2021-22
Med_Exp_TO_amt	0.73	8	2021-22
Asbl_forgn_source_incm_amt	1.14	8	2021-22
Spouse_adjusted_taxable_inc	0.9	8	2021-22
Net_fincl_invstmt_lss_amt	1.08	8	2021-22
Cr_PAYG_ITI_amt	0.94	8	2021-22
TFN_amts_wheld_gr_intst_amt	1.09	8	2021-22
TFN_amts_wheld_divs_amt	1.25	8	2021-22
Hrs_to_prepare_BPI_cnt	1.03	8	2021-22
Help_debt	0.96	8	2021-22
Grs_int_amt	0.91	9	2022-23
Aust_govt_pnsn_allw_amt	1.06	9	2022-23
Unfranked_Div_amt	0.98	9	2022-23
Frk_Div_amt	0.8	9	2022-23
Dividends_franking_cr_amt	0.83	9	2022-23
Gross_rent_amt	1.45	9	2022-23
Other_rent_ded_amt	1.58	9	2022-23
Rent_int_ded_amt	1	9	2022-23
Rent_cap_wks_amt	1.88	9	2022-23
Net_farm_management_amt	0.96	9	2022-23
Total_PP_BI_amt	1.1	9	2022-23
Total_NPP_BI_amt	1.03	9	2022-23
Total_PP_BE_amt	1.19	9	2022-23
Total_NPP_BE_amt	1.16	9	2022-23
Net_CG_amt	1.3	9	2022-23
Tot_CY_CG_amt	1.21	9	2022-23
Net_PT_PP_dsn	1.27	9	2022-23
Net_PT_NPP_dsn	1.4	9	2022-23
Taxed_othr_pnsn_amt	0.95	9	2022-23
Untaxed_othr_pnsn_amt	1.35	9	2022-23
Other_foreign_inc_amt	1.87	9	2022-23
Other_inc_amt	1	9	2022-23
Div_Ded_amt	0.21	9	2022-23
Intrst_Ded_amt	1.1	9	2022-23
Gift_amt	0.98	9	2022-23
PP_loss_claimed	1	9	2022-23
NPP_loss_claimed	0.9	9	2022-23
Rep_frng_ben_amt	1.36	9	2022-23
Med_Exp_TO_amt	0.73	9	2022-23
Asbl_forgn_source_incm_amt	1.14	9	2022-23
Spouse_adjusted_taxable_inc	0.9	9	2022-23
Net_fincl_invstmt_lss_amt	1.08	9	2022-23
Cr_PAYG_ITI_amt	0.94	9	2022-23
TFN_amts_wheld_gr_intst_amt	1.09	9	2022-23
TFN_amts_wheld_divs_amt	1.25	9	2022-23
Hrs_to_prepare_BPI_cnt	1.03	9	2022-23
Help_debt	0.96	9	2022-23
Grs_int_amt	0.91	10	2023-24
Aust_govt_pnsn_allw_amt	1.06	10	2023-24
Unfranked_Div_amt	0.98	10	2023-24
Frk_Div_amt	0.8	10	2023-24
Dividends_franking_cr_amt	0.83	10	2023-24
Gross_rent_amt	1.49	10	2023-24
Other_rent_ded_amt	1.64	10	2023-24
Rent_int_ded_amt	1	10	2023-24
Rent_cap_wks_amt	1.96	10	2023-24
Net_farm_management_amt	0.96	10	2023-24
Total_PP_BI_amt	1.1	10	2023-24
Total_NPP_BI_amt	1.03	10	2023-24
Total_PP_BE_amt	1.19	10	2023-24
Total_NPP_BE_amt	1.16	10	2023-24
Net_CG_amt	1.3	10	2023-24
Tot_CY_CG_amt	1.21	10	2023-24
Net_PT_PP_dsn	1.27	10	2023-24
Net_PT_NPP_dsn	1.44	10	2023-24
Taxed_othr_pnsn_amt	0.95	10	2023-24
Untaxed_othr_pnsn_amt	1.38	10	2023-24
Other_foreign_inc_amt	1.87	10	2023-24
Other_inc_amt	1	10	2023-24
Div_Ded_amt	0.13	10	2023-24
Intrst_Ded_amt	1.1	10	2023-24
Gift_amt	0.98	10	2023-24
PP_loss_claimed	1	10	2023-24
NPP_loss_claimed	0.9	10	2023-24
Rep_frng_ben_amt	1.39	10	2023-24
Med_Exp_TO_amt	0.73	10	2023-24
Asbl_forgn_source_incm_amt	1.14	10	2023-24
Spouse_adjusted_taxable_inc	0.9	10	2023-24
Net_fincl_invstmt_lss_amt	1.08	10	2023-24
Cr_PAYG_ITI_amt	0.94	10	2023-24
TFN_amts_wheld_gr_intst_amt	1.09	10	2023-24
TFN_amts_wheld_divs_amt	1.25	10	2023-24
Hrs_to_prepare_BPI_cnt	1.03	10	2023-24
Help_debt	0.96	10	2023-24
